DOB,Sex,AnimalID,BehMom,Sire,Dam
2/13/98,m,DD00137,DD11999,DD11794,DD11999
3/4/99,m,DD00138,DD05433,DD06549,DD05433
1/12/99,m,DD00139,DD02374,DD06764,DD02374
3/25/00,f,DD00140,DD00733,DD12256,DD00733
11/14/99,f,DD00141,DD12258,DD02866,DD12258
2001-02-01,f,DD00142,DD11668,DD03018,DD11668
2012-03-01,m,DD00143,DD02315,DD00571,DD02315
11/27/01,m,DD00144,DD03660,DD12251,DD03660
2011-04-02,m,DD00145,DD05349,DD04581,DD05349
10/18/03,m,DD00146,DD02439,DD00221,DD02439
2002-10-04,m,DD00147,DD11457,DD02837,DD11457
1/1/55,f,DD00148,NA,NA,NA
1/1/55,f,DD00149,NA,NA,NA
1/1/54,m,DD00150,NA,NA,NA
1/1/55,m,DD00151,NA,NA,NA
1/1/51,f,DD00152,NA,NA,NA
1/1/54,f,DD00153,NA,NA,NA
1/1/55,m,DD00154,NA,NA,NA
1/1/55,f,DD00155,NA,NA,NA
1/1/54,f,DD00156,NA,NA,NA
1/1/55,f,DD00157,NA,NA,NA
3/7/92,f,DD00158,DD04054,DD05808,NA
1/11/93,f,DD00159,DD06918,NA,NA
12/6/93,m,DD00160,DD03626,DD04026,DD03626
2/10/95,f,DD00161,DD11228,DD06608,DD11228
3/1/95,m,DD00162,DD05244,DD06549,DD05244
1/22/96,f,DD00163,DD11603,DD11192,DD11603
12/7/96,m,DD00164,DD11492,DD12019,DD11492
1/8/97,m,DD00165,DD11452,DD12164,DD11452
2/9/98,m,DD00166,DD06919,DD10875,DD06919
3/11/98,f,DD00167,DD06195,DD11081,DD06195
12/10/98,m,DD00168,DD11301,DD04209,DD11301
2/25/99,m,DD00169,DD12358,NA,DD12358
12/15/99,f,DD00170,DD03046,DD05163,DD03046
1/7/00,m,DD00171,DD11477,DD01732,DD11477
2001-02-01,f,DD00172,DD06546,DD12019,DD06546
10/23/01,f,DD00173,DD02839,DD03452,DD02839
10/29/01,f,DD00174,DD01674,DD04581,DD01674
12/19/02,f,DD00175,DD00068,DD11702,DD00068
11/14/03,f,DD00176,DD12262,DD12167,DD12262
2012-06-03,m,DD00177,DD01123,DD01677,DD01123
1/1/51,m,DD00178,NA,NA,NA
1/1/54,f,DD00179,NA,NA,NA
1/1/54,f,DD00180,NA,NA,NA
1/1/54,m,DD00181,NA,NA,NA
1/1/51,f,DD00182,NA,NA,NA
1/1/53,f,DD00183,NA,NA,NA
1/1/51,m,DD00184,NA,NA,NA
1/1/56,f,DD00185,NA,NA,NA
1/1/54,f,DD00186,NA,NA,NA
1/1/55,f,DD00187,NA,NA,NA
1/25/92,f,DD00188,DD11304,DD10026,DD11304
1/5/93,m,DD00189,DD06758,NA,NA
2/4/94,m,DD00190,DD04760,DD05837,DD04760
2/2/95,f,DD00191,DD11161,DD11456,DD11161
1/3/95,f,DD00192,DD11996,DD11122,DD11996
3/19/96,m,DD00193,DD05398,DD06483,DD05398
1/15/97,m,DD00194,DD06919,NA,DD06919
12/3/96,m,DD00195,DD06562,DD10872,DD06562
1/1/98,m,DD00196,DD11492,DD11598,DD11492
1/22/98,f,DD00197,DD12108,DD11717,DD12108
4/23/99,m,DD00198,DD11592,DD07584,DD11592
12/29/98,f,DD00199,DD11999,DD12141,DD11999
11/26/99,m,DD00200,DD09268,DD04209,DD09268
2/5/00,m,DD00201,DD00772,DD00732,DD00772
12/8/00,m,DD00202,DD10882,DD04823,DD10882
2011-03-01,m,DD00203,DD03693,DD11851,DD03693
2012-06-01,f,DD00204,DD11074,DD03049,DD11074
10/25/02,f,DD00205,DD01946,DD12328,DD01946
2/18/04,m,DD00206,DD03106,DD12261,DD03106
11/30/03,f,DD00207,DD04158,DD02351,DD04158
1/1/51,f,DD00208,NA,NA,NA
1/1/56,f,DD00209,NA,NA,NA
1/1/53,m,DD00210,NA,NA,NA
1/1/51,f,DD00211,NA,NA,NA
1/1/56,f,DD00212,NA,NA,NA
1/1/55,f,DD00213,NA,NA,NA
1/1/51,f,DD00214,NA,NA,NA
1/1/55,m,DD00215,NA,NA,NA
1/1/51,f,DD00216,NA,NA,NA
1/1/54,m,DD00217,NA,NA,NA
3/30/92,f,DD00218,DD10949,DD06771,DD10949
12/5/92,f,DD00219,DD06386,DD10854,NA
3/7/94,f,DD00220,DD11457,DD11158,DD11457
1/4/95,m,DD00221,DD11141,DD11081,DD11141
1/4/95,f,DD00222,DD12155,DD11145,DD12155
1/26/96,f,DD00223,DD11301,DD06912,DD11301
1/22/97,m,DD00224,DD06677,DD10880,DD06677
12/24/96,f,DD00225,DD11018,DD11081,DD11018
2/20/98,m,DD00226,DD11764,DD11145,DD11764
12/10/97,m,DD00227,DD01701,DD11213,DD01701
12/26/98,f,DD00228,DD04090,DD01732,DD04090
1/6/99,f,DD00229,DD05313,DD11003,DD05313
1/22/00,f,DD00230,DD03449,DD02866,DD03449
1/1/00,m,DD00231,DD10924,DD11819,DD10924
2001-09-01,m,DD00232,DD12265,DD01087,DD12265
12/15/01,m,DD00233,DD03568,DD02344,DD03568
2011-03-01,f,DD00234,DD00099,DD04001,DD00099
2001-06-03,m,DD00235,DD04212,DD11437,DD04212
2011-06-03,m,DD00236,DD03016,DD00571,DD03016
12/14/03,m,DD00237,DD11938,NA,DD11938
1/1/54,f,DD00238,NA,NA,NA
1/1/51,f,DD00239,NA,NA,NA
1/1/51,m,DD00240,NA,NA,NA
1/1/51,f,DD00241,NA,NA,NA
1/1/51,f,DD00242,NA,NA,NA
1/1/55,f,DD00243,NA,NA,NA
1/1/55,m,DD00244,NA,NA,NA
1/1/53,f,DD00245,NA,NA,NA
1/1/55,f,DD00246,NA,NA,NA
1/1/51,m,DD00247,NA,NA,NA
1/27/92,m,DD00248,DD06355,DD06665,DD06355
12/15/92,f,DD00249,DD05400,NA,NA
2/17/94,f,DD00250,DD11999,DD09253,DD11999
12/28/94,f,DD00251,DD11518,DD11081,DD11518
5/13/95,m,DD00252,DD11592,DD10026,DD11592
12/20/95,f,DD00253,DD10882,DD11503,DD10882
1/5/97,f,DD00254,DD03016,DD06136,DD03016
3/19/97,f,DD00255,DD11756,DD04170,NA
12/22/97,f,DD00256,DD00039,DD11441,DD00039
11/5/97,m,DD00257,DD06577,DD06665,DD06577
12/16/98,m,DD00258,DD03046,DD02866,DD03046
11/9/98,f,DD00259,DD11152,DD06665,DD11152
11/20/99,m,DD00260,DD11972,DD12167,DD11972
12/10/99,m,DD00261,DD11959,DD11851,DD11959
12/7/00,m,DD00262,DD11606,DD00070,DD11606
12/21/01,f,DD00263,DD01704,DD00674,DD01704
12/24/01,m,DD00264,DD01208,DD11023,DD01208
1/19/03,f,DD00265,DD12108,DD01087,DD12108
2003-01-04,m,DD00266,DD04090,DD03573,DD04090
2010-01-03,f,DD00267,DD11080,DD12328,DD11080
1/1/51,f,DD00268,NA,NA,NA
1/1/51,f,DD00269,NA,NA,NA
1/1/51,f,DD00270,NA,NA,NA
1/1/51,f,DD00271,NA,NA,NA
1/1/51,f,DD00272,NA,NA,NA
1/1/55,m,DD00273,NA,NA,NA
1/1/55,m,DD00274,NA,NA,NA
1/1/55,f,DD00275,NA,NA,NA
1/1/56,m,DD00276,NA,NA,NA
1/1/56,f,DD00277,NA,NA,NA
1/4/92,m,DD00278,DD11292,NA,NA
1/13/93,f,DD00279,DD11467,NA,NA
11/21/93,m,DD00280,DD10865,DD06608,DD10865
12/28/94,m,DD00281,DD11663,DD11450,DD11663
3/30/95,f,DD00282,DD05398,DD06528,DD05398
2/4/96,f,DD00283,DD10949,DD11430,DD10949
2/26/97,f,DD00284,DD12262,DD09264,DD12262
1/19/97,f,DD00285,DD11074,DD11794,DD11074
11/29/97,f,DD00286,DD11476,DD11598,DD11476
1/8/98,m,DD00287,DD12021,DD11598,DD12021
12/17/98,m,DD00288,DD04763,DD11670,DD04763
12/22/98,m,DD00289,DD04641,DD05788,DD04641
12/23/99,m,DD00290,DD12265,DD11192,DD12265
2/16/00,f,DD00291,DD01946,DD06737,DD01946
2002-11-01,m,DD00292,DD10956,DD11192,DD10956
2012-05-01,m,DD00293,DD01768,DD03601,DD01768
11/26/01,m,DD00294,DD03016,DD12261,DD03016
11/22/02,f,DD00295,DD04796,DD10948,DD04796
1/13/04,m,DD00296,DD02315,DD00221,DD02315
2011-07-03,f,DD00297,DD02444,DD06879,DD02444
10/16/04,f,DD00298,DD01674,DD01184,DD01674
11/19/04,f,DD00299,DD00693,DD04682,DD00693
12/18/04,f,DD00300,DD04861,DD04581,DD04861
10/18/04,m,DD00301,DD02495,DD04764,DD02495
10/23/04,f,DD00302,DD03486,DD00221,DD03486
10/22/04,f,DD00303,DD02959,DD02961,DD02959
2012-10-04,m,DD00304,DD00679,DD12261,DD00679
2012-10-04,m,DD00305,DD10953,DD04764,DD10953
10/21/04,f,DD00306,DD04038,DD00571,DD04038
12/29/04,f,DD00307,DD01358,DD00260,DD01358
1/31/05,f,DD00308,DD12258,DD00260,DD12258
11/22/04,m,DD00309,DD00074,DD12141,DD05266
2010-03-04,f,DD00310,DD12358,DD04217,DD12358
2012-04-04,m,DD00311,DD12144,DD04217,DD12144
2012-05-04,f,DD00312,DD03630,DD00659,DD03630
10/22/04,f,DD00313,DD05261,DD03696,DD05261
11/29/04,f,DD00314,DD11938,DD03548,DD11938
2005-09-05,f,DD00315,DD11853,DD00641,DD11853
11/28/04,m,DD00316,DD01327,DD02500,DD01327
2011-02-04,f,DD00317,DD00781,DD04240,DD00781
10/31/05,m,DD00318,DD12266,DD03548,DD12266
1/24/06,m,DD00319,DD01118,DD00288,DD01118
10/29/05,f,DD00320,DD03433,DD05444,DD03433
11/17/05,m,DD00321,DD01126,DD02938,DD01126
2011-01-05,m,DD00322,DD01091,DD04623,DD01091
10/30/05,m,DD00323,DD02439,DD01095,DD02439
12/20/05,f,DD00324,DD02325,DD00048,DD02325
10/25/05,m,DD00325,DD01336,DD00571,DD01336
2012-11-05,f,DD00326,DD00606,DD00703,DD00606
10/30/05,m,DD00327,DD12184,DD00288,DD12184
12/24/06,m,DD00328,DD01335,DD04581,DD01335
2010-02-06,f,DD00329,DD02506,DD00136,DD02506
2010-07-06,m,DD00330,DD02382,DD00288,DD02382
9/23/06,m,DD00331,DD00584,DD05444,DD00584
2010-11-06,f,DD00332,DD04763,DD00110,DD04763
2010-08-06,f,DD00333,DD12144,DD00641,DD12144
10/23/06,m,DD00334,DD00068,DD04682,DD00068
10/17/06,m,DD00335,DD01895,NA,DD01895
2011-05-06,m,DD00336,DD11080,DD01130,DD11080
2010-11-06,m,DD00337,DD04189,DD00659,DD04189
10/31/06,f,DD00338,DD02264,DD00288,DD02264
11/18/06,f,DD00339,DD05349,DD01281,DD05349
12/20/06,f,DD00340,DD00085,DD11851,DD00085
10/16/06,m,DD00341,DD11141,DD01095,DD11141
2012-02-06,m,DD00342,DD01327,DD04682,DD01327
10/18/06,m,DD00343,DD01128,DD00703,DD01128
10/27/06,f,DD00344,DD05203,DD01922,DD05203
2001-03-07,f,DD00345,DD12265,DD00571,DD12265
10/18/06,m,DD00346,DD11972,DD03548,DD11972
9/15/06,m,DD00347,DD02910,DD04156,DD02910
11/28/07,f,DD00348,DD01712,DD03450,DD01712
2011-06-07,m,DD00349,DD00695,DD00632,DD00695
12/22/07,m,DD00350,DD11764,DD02875,DD11764
2011-11-07,f,DD00351,DD03606,DD05268,DD03606
10/29/07,f,DD00352,DD01128,DD03670,DD01128
2009-11-07,m,DD00353,DD03539,DD04732,DD03539
9/30/07,f,DD00354,DD00587,DD04105,DD00587
10/30/07,m,DD00355,DD01335,DD03426,DD01335
9/26/07,f,DD00356,DD03660,DD04682,DD03660
11/13/07,m,DD00357,DD05388,DD01281,DD05388
2012-12-07,f,DD00358,DD12004,DD00136,DD12004
11/17/07,m,DD00359,DD10988,DD05206,DD10988
9/26/07,f,DD00360,DD02270,DD02961,DD02270
10/27/07,f,DD00361,DD03495,DD00261,DD03495
2001-11-08,m,DD00362,DD03053,DD00221,DD03053
2010-05-07,f,DD00363,DD02349,DD04156,DD02349
2010-03-07,m,DD00364,DD00679,DD01248,DD00679
10/23/07,f,DD00365,DD12258,DD02358,DD12258
9/30/07,m,DD00366,DD02993,DD00073,DD02993
2011-09-08,m,DD00367,DD05412,DD03430,DD05412
2011-11-08,m,DD00368,DD01123,DD05296,DD01123
2009-04-08,m,DD00369,DD03492,DD04581,DD03492
2009-07-08,f,DD00370,DD03494,DD00110,DD03494
2010-06-08,m,DD00371,DD00610,DD01309,DD00610
2010-09-08,f,DD00372,DD01128,DD03573,DD01128
2010-07-08,f,DD00373,DD03001,DD01162,DD03001
9/24/08,f,DD00374,DD04091,DD00261,DD04091
9/20/08,m,DD00375,DD00727,DD04707,DD00727
1/31/09,m,DD00376,DD12096,DD00083,DD12096
2010-04-08,m,DD00377,DD04038,DD03548,DD04038
9/16/08,f,DD00378,DD12262,DD04623,DD12262
12/15/08,m,DD00379,DD01960,DD04076,DD01960
9/25/08,m,DD00380,DD00679,DD00221,DD00679
2011-10-08,m,DD00381,DD11474,DD00221,DD11474
9/17/08,f,DD00382,DD02382,DD02358,DD02382
2010-08-08,f,DD00383,DD05166,DD01867,DD05166
2001-05-09,f,DD00384,DD05226,DD01867,DD05226
2009-01-08,f,DD00385,DD01930,DD03003,DD01930
10/28/09,m,DD00386,DD04247,DD04072,DD04247
9/23/09,m,DD00387,DD04748,DD04072,DD04748
11/17/09,m,DD00388,DD01779,DD00617,DD01779
2009-06-09,m,DD00389,DD00085,DD01306,DD00085
10/23/09,f,DD00390,DD04188,DD03026,DD04188
10/18/09,m,DD00391,DD04861,DD04682,DD04861
9/16/09,m,DD00392,DD00730,DD02853,DD00730
10/17/09,f,DD00393,DD02995,DD00789,DD02995
10/28/09,f,DD00394,DD05261,DD00663,DD05261
2009-06-09,f,DD00395,DD04750,DD01095,DD04750
8/29/09,m,DD00396,DD01225,DD05209,DD01225
2010-03-09,m,DD00397,DD01676,DD00789,DD01676
10/14/09,f,DD00398,DD00695,DD00632,DD00695
2010-11-09,m,DD00399,DD02576,DD11851,DD02576
11/22/09,f,DD00400,DD01987,DD00723,DD01987
2011-01-09,m,DD00401,DD03144,DD02356,DD03144
10/30/09,f,DD00402,DD02349,DD00083,DD02349
9/28/09,m,DD00403,DD02910,DD01867,DD02910
10/17/09,f,DD00404,DD00704,DD00617,DD00704
2010-03-09,f,DD00405,DD04288,DD00166,DD04288
11/21/09,f,DD00406,DD01403,DD03026,DD01403
2001-02-10,F,DD00407,DD01792,DD00789,DD01792
10/30/10,m,DD00408,DD05261,DD02390,DD05261
9/28/10,m,DD00409,DD04861,DD00741,DD04861
9/28/10,f,DD00410,DD03437,DD03091,DD03437
10/22/10,m,DD00411,DD03004,DD02295,DD03004
10/14/10,m,DD00412,DD00730,DD00647,DD00730
10/13/10,m,DD00413,DD02554,DD05296,DD02554
9/21/10,f,DD00414,DD03063,DD02938,DD03063
10/30/10,f,DD00415,DD03151,DD03152,DD03151
10/29/10,f,DD00416,DD04299,DD00789,DD04299
2010-09-10,f,DD00417,DD00808,DD00789,DD00808
9/23/10,f,DD00418,DD03155,DD05164,DD03155
9/20/10,m,DD00419,DD00658,DD00632,DD00658
2009-12-10,f,DD00420,DD01430,DD05206,DD01430
10/25/10,f,DD00421,DD00807,DD03464,DD00807
2010-10-10,f,DD00422,DD00675,DD04072,DD00675
8/25/11,f,DD00423,DD00339,DD01281,DD00339
2008-09-11,f,DD00424,DD01403,DD00617,DD01403
9/13/11,m,DD00425,DD05266,DD03051,DD05266
8/22/11,m,DD00426,DD02995,DD03436,DD02995
8/15/11,m,DD00427,DD01415,DD01869,DD01415
10/20/11,m,DD00428,DD05412,DD03464,DD05412
9/20/11,m,DD00429,DD04614,DD05413,DD04614
2009-12-11,f,DD00430,DD04748,DD04105,DD04748
10/17/11,f,DD00431,DD00804,DD05391,DD00804
2009-05-11,f,DD00432,DD02945,DD11857,DD02945
2011-04-11,m,DD00433,DD00652,DD03464,DD00652
8/30/11,m,DD00434,DD02004,DD02453,DD02004
11/28/11,f,DD00435,DD01680,DD05413,DD01680
2009-06-11,m,DD00436,DD02483,DD03464,DD02483
2011-01-11,m,DD00437,DD02353,DD01248,DD02353
2010-09-12,m,DD00438,DD02844,DD01252,DD02844
2010-07-12,m,DD00439,DD01358,DD02543,DD01358
2010-11-12,f,DD00440,DD04288,DD04879,DD04288
10/16/12,f,DD00441,DD00804,DD00793,DD00804
2009-12-12,m,DD00442,DD05505,DD02570,DD05505
9/17/12,f,DD00443,DD02422,DD05391,DD02422
9/30/12,m,DD00444,DD04640,DD03647,DD04640
2009-06-12,m,DD00445,DD02382,DD00316,DD02382
2009-06-12,m,DD00446,DD05494,DD03717,DD05494
2009-08-12,m,DD00447,DD05420,DD02543,DD05420
2009-10-12,m,DD00448,DD03713,DD01968,DD03713
2010-02-12,m,DD00449,DD02930,DD03710,DD02930
2009-11-12,f,DD00450,DD04227,DD05302,DD04227
8/29/12,f,DD00451,DD04749,DD01690,DD04749
10/27/12,f,DD00452,DD03733,DD00726,DD03733
9/29/12,f,DD00453,DD05388,DD02505,DD05388
9/15/12,m,DD00454,DD02550,DD01690,DD02550
9/25/12,m,DD00455,DD01854,DD04839,DD01854
9/13/12,m,DD00456,DD02604,DD00083,DD02604
8/25/12,m,DD00457,DD02968,DD01968,DD02968
2009-08-12,f,DD00458,DD04780,DD00726,DD04780
10/22/12,m,DD00459,DD02512,DD04581,DD02512
2010-09-12,m,DD00460,DD05299,DD03554,DD05299
9/24/12,f,DD00461,DD04091,DD04198,DD04091
2010-01-12,m,DD00462,DD03001,DD02356,DD03001
12/29/12,f,DD00463,DD01404,DD02358,DD01404
9/30/12,f,DD00464,DD04360,DD01406,DD04360
9/14/12,f,DD00465,DD01971,DD01689,DD01971
9/21/12,f,DD00466,DD04917,DD04198,DD04917
2011-12-12,m,DD00467,DD01128,DD02356,DD01128
2007-04-13,f,DD00468,DD05478,DD05487,DD05478
2008-07-13,m,DD00469,DD05272,DD05362,DD05272
8/21/13,m,DD00470,DD03434,DD04906,DD03434
7/30/13,m,DD00471,DD05266,DD04108,DD05266
8/30/13,f,DD00472,DD05177,DD05290,DD05177
2009-06-13,m,DD00473,DD03433,DD00136,DD03433
2008-12-13,f,DD00474,DD03736,DD03710,DD03736
8/15/13,f,DD00475,DD02542,DD03718,DD02542
7/28/13,m,DD00476,DD03201,DD05487,DD03201
2009-09-13,f,DD00477,DD01423,DD04896,DD01423
8/21/13,m,DD00478,DD02915,DD03464,DD02915
9/20/13,f,DD00479,DD02004,DD00793,DD02004
2009-06-13,f,DD00480,DD05477,DD03464,DD05477
8/13/13,m,DD00481,DD02945,DD00793,DD02945
2009-02-13,m,DD00482,DD00886,DD03177,DD00886
7/27/13,f,DD00483,DD02272,DD04107,DD02272
9/15/13,f,DD00484,DD05505,DD00793,DD05505
2010-01-13,m,DD00485,DD01747,DD00647,DD01747
8/31/13,f,DD00486,DD03020,DD02331,DD03020
2010-10-13,f,DD00487,DD03527,DD02010,DD03527
9/18/14,f,DD00488,DD01336,DD01982,DD01336
8/17/14,f,DD00489,DD04928,DD01470,DD04928
2007-07-14,m,DD00490,DD00908,DD00316,DD00908
8/15/14,m,DD00491,DD01380,DD03172,DD01380
2008-03-14,f,DD00492,DD03736,DD00850,DD03736
2009-07-14,f,DD00493,DD02349,DD00221,DD02349
2009-09-14,f,DD00494,DD03458,DD00647,DD03458
8/15/14,m,DD00495,DD00916,DD01481,DD00916
8/13/14,f,DD00496,DD00314,DD04198,DD00314
9/16/14,f,DD00497,DD00300,DD02390,DD00300
8/28/14,m,DD00498,DD01999,DD04886,DD01999
2007-08-14,f,DD00499,DD00903,DD05487,DD00903
8/19/14,m,DD00500,DD02382,DD04839,DD02382
7/31/14,f,DD00501,DD00906,DD00850,DD00906
2008-11-14,f,DD00502,DD02325,DD00316,DD02325
8/16/14,f,DD00503,DD01803,DD01364,DD01803
8/28/14,f,DD00504,DD04969,DD04896,DD04969
2009-07-14,f,DD00505,DD05563,DD05484,DD05563
2010-06-14,f,DD00506,DD00385,DD04886,DD00385
9/27/14,m,DD00507,DD05388,DD02390,DD05388
2008-05-15,f,DD00508,DD01383,DD04355,DD01383
11/27/15,f,DD00509,DD03053,DD00316,DD03053
7/13/15,f,DD00510,DD00945,DD01467,DD00945
8/15/15,m,DD00511,DD02641,DD02543,DD02641
7/27/15,f,DD00512,DD03144,DD02543,DD03144
7/29/15,f,DD00513,DD04225,DD05296,DD04225
8/13/15,f,DD00514,DD00906,DD01467,DD00906
8/30/15,m,DD00515,DD00837,DD00850,DD00837
2008-06-15,m,DD00516,DD00326,DD03232,DD00326
10/15/15,f,DD00517,DD01154,DD02356,DD01154
